date,ph,ResultMeasure/MeasureUnitCode,lat,long,MonitoringLocationIdentifier
2004-05-26,38.7,ppth      ,27.5351666,-80.337666,21FLSEAS-70SEAS140
2004-08-12,31.7,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2004-08-12,31.5,ppth      ,27.5468333,-80.352,21FLSEAS-70SEAS161
2004-08-12,32.3,ppth      ,27.5275,-80.346833,21FLSEAS-70SEAS122
2007-11-19,30.67,ppth,27.3883333,-80.2775,21FLWPB_WQX-28010210
2007-11-07,30.75,ppth,27.4761111,-80.3297222,21FLWPB_WQX-28010705
2006-12-19,33,ppth      ,27.5205,-80.338,21FLSEAS-70SEAS305
2006-11-05,35.2,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-09-03,36,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-09-17,34.4,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-09-24,32.6,ppth      ,27.42,-80.31,21FLMRC-IR3731
2007-11-07,31.67,ppth,27.4761111,-80.3297222,21FLWPB_WQX-28010705
2006-04-24,32.3,ppth      ,27.5351666,-80.337666,21FLSEAS-70SEAS140
2007-02-21,36.81,ppth,27.3499972,-80.2644444,21FLWPB_WQX-28010704
2006-03-12,32.4,ppth      ,27.42,-80.31,21FLMRC-IR3731
2006-06-23,36.2,ppth      ,27.44,-80.31,21FLMRC-IR3721
2006-07-26,33.2,ppth      ,27.49,-80.34,21FLMRC-IR3660
2006-07-09,37.2,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-07-16,37.1,ppth      ,27.47,-80.29,21FLMRC-IR3710
2006-04-24,31.9,ppth      ,27.5093333,-80.3245,21FLSEAS-70SEAS307
2007-08-07,32.4,ppth,27.3499972,-80.2644444,21FLWPB_WQX-28010704
2006-04-24,33.6,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2006-08-08,36.3,ppth      ,27.46,-80.3,21FLFMRI-FLE200637
2006-08-08,36.2,ppth      ,27.46,-80.3,21FLFMRI-FLE200637
2006-04-24,32.4,ppth      ,27.5055,-80.334,21FLSEAS-70SEAS090
2006-04-24,31.1,ppth      ,27.5098333,-80.342,21FLSEAS-70SEAS091
2006-04-09,36,ppth      ,27.47,-80.29,21FLMRC-IR3710
